index,HHID,HLID,country
6_Congo_MICS6_4_28_2,6_Congo_MICS6_4_28,6_Congo_MICS6_4_28_2,Congo_MICS6
6_Congo_MICS6_4_28_4,6_Congo_MICS6_4_28,6_Congo_MICS6_4_28_4,Congo_MICS6
6_Congo_MICS6_4_28_5,6_Congo_MICS6_4_28,6_Congo_MICS6_4_28_5,Congo_MICS6
6_Congo_MICS6_4_28_6,6_Congo_MICS6_4_28,6_Congo_MICS6_4_28_6,Congo_MICS6
6_Congo_MICS6_4_29_2,6_Congo_MICS6_4_29,6_Congo_MICS6_4_29_2,Congo_MICS6
6_Congo_MICS6_4_30_2,6_Congo_MICS6_4_30,6_Congo_MICS6_4_30_2,Congo_MICS6
6_Congo_MICS6_5_1_2,6_Congo_MICS6_5_1,6_Congo_MICS6_5_1_2,Congo_MICS6
6_Congo_MICS6_5_2_2,6_Congo_MICS6_5_2,6_Congo_MICS6_5_2_2,Congo_MICS6
6_Congo_MICS6_5_3_3,6_Congo_MICS6_5_3,6_Congo_MICS6_5_3_3,Congo_MICS6
6_Congo_MICS6_5_3_4,6_Congo_MICS6_5_3,6_Congo_MICS6_5_3_4,Congo_MICS6
6_Congo_MICS6_5_4_2,6_Congo_MICS6_5_4,6_Congo_MICS6_5_4_2,Congo_MICS6
6_Congo_MICS6_5_6_2,6_Congo_MICS6_5_6,6_Congo_MICS6_5_6_2,Congo_MICS6
6_Congo_MICS6_5_7_1,6_Congo_MICS6_5_7,6_Congo_MICS6_5_7_1,Congo_MICS6
6_Congo_MICS6_5_10_2,6_Congo_MICS6_5_10,6_Congo_MICS6_5_10_2,Congo_MICS6
6_Congo_MICS6_5_12_3,6_Congo_MICS6_5_12,6_Congo_MICS6_5_12_3,Congo_MICS6
6_Congo_MICS6_5_12_4,6_Congo_MICS6_5_12,6_Congo_MICS6_5_12_4,Congo_MICS6
6_Congo_MICS6_5_12_5,6_Congo_MICS6_5_12,6_Congo_MICS6_5_12_5,Congo_MICS6
6_Congo_MICS6_5_12_8,6_Congo_MICS6_5_12,6_Congo_MICS6_5_12_8,Congo_MICS6
6_Congo_MICS6_5_12_9,6_Congo_MICS6_5_12,6_Congo_MICS6_5_12_9,Congo_MICS6
6_Congo_MICS6_5_14_2,6_Congo_MICS6_5_14,6_Congo_MICS6_5_14_2,Congo_MICS6
6_Congo_MICS6_5_14_3,6_Congo_MICS6_5_14,6_Congo_MICS6_5_14_3,Congo_MICS6
6_Congo_MICS6_5_14_4,6_Congo_MICS6_5_14,6_Congo_MICS6_5_14_4,Congo_MICS6
6_Congo_MICS6_5_14_6,6_Congo_MICS6_5_14,6_Congo_MICS6_5_14_6,Congo_MICS6
6_Congo_MICS6_5_14_7,6_Congo_MICS6_5_14,6_Congo_MICS6_5_14_7,Congo_MICS6
6_Congo_MICS6_5_16_2,6_Congo_MICS6_5_16,6_Congo_MICS6_5_16_2,Congo_MICS6
6_Congo_MICS6_5_16_9,6_Congo_MICS6_5_16,6_Congo_MICS6_5_16_9,Congo_MICS6
6_Congo_MICS6_5_17_4,6_Congo_MICS6_5_17,6_Congo_MICS6_5_17_4,Congo_MICS6
6_Congo_MICS6_5_18_2,6_Congo_MICS6_5_18,6_Congo_MICS6_5_18_2,Congo_MICS6
6_Congo_MICS6_5_19_2,6_Congo_MICS6_5_19,6_Congo_MICS6_5_19_2,Congo_MICS6
6_Congo_MICS6_5_20_2,6_Congo_MICS6_5_20,6_Congo_MICS6_5_20_2,Congo_MICS6
6_Congo_MICS6_5_20_4,6_Congo_MICS6_5_20,6_Congo_MICS6_5_20_4,Congo_MICS6
6_Congo_MICS6_5_21_3,6_Congo_MICS6_5_21,6_Congo_MICS6_5_21_3,Congo_MICS6
6_Congo_MICS6_5_21_4,6_Congo_MICS6_5_21,6_Congo_MICS6_5_21_4,Congo_MICS6
6_Congo_MICS6_5_23_2,6_Congo_MICS6_5_23,6_Congo_MICS6_5_23_2,Congo_MICS6
6_Congo_MICS6_5_24_2,6_Congo_MICS6_5_24,6_Congo_MICS6_5_24_2,Congo_MICS6
