,WB6A,WB16,MT9,MT11,CM3,CM8,CP2,UN7,UN14N,VT9,MA1,AF10,AF11,SB2U,TA16,LS2
6_Congo_MICS6_4_1_4,31.0,,1.0,1.0,,2.0,2.0,1.0,5.0,2.0,3.0,,,,,9.0
6_Congo_MICS6_4_2_2,34.0,1.0,2.0,2.0,4.0,2.0,,,7.0,2.0,1.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_4_3_2,40.0,1.0,1.0,1.0,,2.0,,,2.0,2.0,1.0,1.0,1.0,1.0,10.0,4.0
6_Congo_MICS6_4_4_3,40.0,,,1.0,,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,,10.0
6_Congo_MICS6_4_6_2,40.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,10.0
6_Congo_MICS6_4_8_1,32.0,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,,10.0
6_Congo_MICS6_4_8_2,33.0,,2.0,2.0,,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,,10.0
6_Congo_MICS6_4_8_3,32.0,,2.0,2.0,0.0,2.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,2.0,,10.0
6_Congo_MICS6_4_9_2,40.0,,1.0,1.0,,1.0,2.0,1.0,10.0,2.0,1.0,1.0,1.0,1.0,,10.0
6_Congo_MICS6_4_12_2,32.0,,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,5.0
6_Congo_MICS6_4_13_2,31.0,,1.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,,8.0
6_Congo_MICS6_4_13_3,31.0,,1.0,1.0,,2.0,2.0,1.0,5.0,2.0,3.0,,,,,8.0
6_Congo_MICS6_4_15_2,32.0,,1.0,1.0,0.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,10.0,10.0
6_Congo_MICS6_4_15_4,31.0,,1.0,1.0,,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,,10.0
6_Congo_MICS6_4_16_4,31.0,,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_4_16_5,40.0,,1.0,1.0,,2.0,1.0,1.0,6.0,2.0,3.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_4_17_2,32.0,,2.0,1.0,1.0,2.0,1.0,1.0,9.0,2.0,1.0,1.0,1.0,1.0,,4.0
6_Congo_MICS6_4_17_3,32.0,,2.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0,3.0,,,4.0,,5.0
6_Congo_MICS6_4_18_1,20.0,,2.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,,5.0
6_Congo_MICS6_4_19_2,40.0,,1.0,1.0,1.0,1.0,2.0,1.0,12.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_4_21_1,40.0,,2.0,1.0,0.0,2.0,1.0,2.0,26.0,2.0,1.0,1.0,1.0,1.0,,7.0
6_Congo_MICS6_4_22_2,32.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_4_24_2,32.0,,2.0,1.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,2.0,10.0,5.0
6_Congo_MICS6_4_26_2,32.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,5.0
6_Congo_MICS6_4_26_3,31.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,,5.0
